[max],10000,565.99,10000,490.74,10000,521.31,10000,466,10000,529.46,10000,592.67,10000,577.87,10000,622.76,10000,630.88,10000,583.3,10000,571.24,10000,551.95,10000,613.47,10000,624.36,10000,556.71,10000,523.25,10000,517.12,10000,529.14,10000,455.22,10000,491.12,10000,610.99,10000,640.32,10000,620.53,10000,596.42,10000,584.42,10000,583.07,10000,671.12,10000,597.88,10000,606.77,10000,600.45,10000,522.9,10000,548.38,10000,519.88,10000,547.53,10000,588.91,10000,597.78,10000,547.42,10000,656.09,10000,589.93,10000,563.4,10000,564.95,10000,610.42,10000,566.11,10000,558.91,10000,599.4,10000,523.04,10000,537.1,10000,555.24,10000,512.01,10000,499.61,10000,647.92,10000,643.05,10000,561.9,10000,589.83,10000,544.51,10000,554.42,10000,652.56,10000,622.15,10000,628.07,10000,639.14,10000,133.72,10000,126.69,10000,124.48,10000,120.28,10000,130.65,10000,135.68,10000,129.33,10000,119.13,10000,120.78,10000,119.27,10000,130.93,10000,115.75,10000,123.69,10000,121.4,10000,120.03,10000,71.3,10000,65.14,10000,70.92,10000,57.06,10000,65.87,10000,120.22,10000,121.29,10000,110.23,10000,117.51,10000,120.37,10000,109.85,10000,113.58,10000,125.48,10000,112.58,10000,116.08,10000,127.97,10000,113.37,10000,108.64,10000,113.51,10000,115.63,10000,114.8,10000,132.37,10000,130.32,10000,126.77,10000,133.65,10000,117.89,10000,129.61,10000,116.6,10000,112.38,10000,122.84,10000,69.78,10000,63.06,10000,64.6,10000,71.43,10000,59.52,10000,119.82,10000,104.85,10000,128.6,10000,117.56,10000,118.99,10000,129.53,10000,124.22,10000,117.04,10000,123.81,10000,121.7
[mean],5000,128.48545454545453,5000,125.72363636363639,5000,121.68454545454546,5000,126.74818181818182,5000,130.56090909090912,5000,245.92000000000004,5000,209.32818181818183,5000,244.23545454545453,5000,233.64000000000004,5000,206.62545454545452,5000,243.34272727272727,5000,346.82545454545453,5000,238.77272727272722,5000,264.1236363636363,5000,203.92181818181817,5000,109.47818181818182,5000,115.15181818181817,5000,110.97545454545455,5000,108.71454545454544,5000,109.77818181818184,5000,215.97727272727278,5000,234.2863636363636,5000,233.4427272727273,5000,220.6563636363636,5000,265.5618181818182,5000,212.74181818181816,5000,261.0345454545455,5000,259.0545454545454,5000,231.00181818181815,5000,252.66272727272724,5000,121.10272727272728,5000,128.46272727272728,5000,129.03454545454548,5000,127.36818181818184,5000,128.73454545454544,5000,206.2563636363636,5000,243.40818181818184,5000,186.55454545454543,5000,202.80272727272725,5000,190.58727272727273,5000,198.02272727272728,5000,213.57909090909087,5000,193.43545454545455,5000,240.30363636363637,5000,220.39363636363635,5000,116.76636363636364,5000,119.83454545454546,5000,116.65545454545459,5000,113.70818181818181,5000,113.73636363636363,5000,238.5818181818182,5000,190.12454545454545,5000,189.15,5000,186.42818181818183,5000,196.44454545454548,5000,256.0118181818182,5000,228.27454545454546,5000,244.4409090909091,5000,197.8081818181818,5000,204.96363636363637,5000,71.06090909090909,5000,66.59454545454545,5000,73.18363636363637,5000,69.07181818181819,5000,73.18363636363637,5000,68.81363636363636,5000,73.38818181818182,5000,73.17636363636365,5000,66.52272727272727,5000,70.90272727272726,5000,65.82545454545455,5000,68.30181818181818,5000,66.71727272727274,5000,75.45272727272727,5000,69.53363636363638,5000,49.88909091,5000,49.95636363636363,5000,49.449090909090906,5000,47.84545454545455,5000,49.89636363636364,5000,61.908181818181816,5000,59.06454545454546,5000,59.458181818181814,5000,60.25545454545455,5000,59.27272727272727,5000,67.98181818181818,5000,65.96636363636365,5000,70.39363636363636,5000,65.31272727272727,5000,64.79818181818182,5000,65.31090909090909,5000,64.76272727272726,5000,63.47909091,5000,60.82818181818182,5000,63.02454545454545,5000,63.157272727272726,5000,65.66545454545454,5000,62.525454545454544,5000,67.62,5000,67.59545454545456,5000,63.70909090909092,5000,64.50090909090909,5000,64.17636363636363,5000,60.01545454545455,5000,64.10727272727273,5000,49.89636363636364,5000,48.943636363636365,5000,49.369090909090914,5000,50.349999999999994,5000,48.355454545454556,5000,61.150909090909096,5000,59.69454545454544,5000,62.27454545454545,5000,60.85,5000,60.68909090909092,5000,64.18090909090908,5000,63.71818181818182,5000,64.24545454545455,5000,63.867272727272734,5000,69.32545454545453
[total steps],10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[all run data],[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time,[step],average-walking-time
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1000,565.99,1000,490.74,1000,521.31,1000,466,1000,529.46,1000,591.85,1000,577.87,1000,622.76,1000,630.88,1000,583.3,1000,571.24,1000,551.95,1000,613.47,1000,624.36,1000,556.71,1000,523.25,1000,517.12,1000,529.14,1000,455.22,1000,491.12,1000,610.99,1000,640.32,1000,620.53,1000,596.42,1000,584.42,1000,583.07,1000,671.12,1000,597.88,1000,606.77,1000,600.45,1000,522.9,1000,548.38,1000,519.88,1000,547.53,1000,588.91,1000,568.97,1000,547.42,1000,488.6,1000,583.65,1000,561.61,1000,562.72,1000,610.42,1000,566.11,1000,536.49,1000,562.73,1000,523.04,1000,537.1,1000,555.24,1000,512.01,1000,499.61,1000,647.92,1000,643.05,1000,561.9,1000,530.18,1000,544.51,1000,554.42,1000,638.11,1000,622.15,1000,543.02,1000,639.14,1000,123.26,1000,108.03,1000,124.48,1000,107.34,1000,130.65,1000,135.68,1000,129.33,1000,119.13,1000,103.72,1000,115.69,1000,130.93,1000,115.75,1000,117.45,1000,119.77,1000,120.03,1000,71.3,1000,56.15,1000,70.92,1000,57.06,1000,65.87,1000,120.22,1000,121.29,1000,110.23,1000,117.51,1000,120.37,1000,107.66,1000,101.55,1000,108.77,1000,112.58,1000,114.16,1000,127.97,1000,107.75,1000,108.64,1000,113.51,1000,115.63,1000,114.8,1000,132.37,1000,113.22,1000,126.77,1000,133.65,1000,115.41,1000,117.21,1000,107.74,1000,112.38,1000,120.5,1000,69.78,1000,61.45,1000,61.82,1000,71.43,1000,59.52,1000,119.82,1000,104.85,1000,128.6,1000,117.56,1000,118.99,1000,115.69,1000,124.22,1000,115.94,1000,123.81,1000,121.7
,2000,278.47,2000,358.38,2000,295.22,2000,310.52,2000,301.78,2000,592.67,2000,522.27,2000,573.16,2000,574.18,2000,531.95,2000,499.17,2000,533.09,2000,591.36,2000,584.76,2000,555.39,2000,255.47,2000,299.37,2000,252.36,2000,288.3,2000,283.1,2000,580.98,2000,523.92,2000,530.67,2000,503.31,2000,581.13,2000,523.49,2000,581.22,2000,525.7,2000,518.12,2000,589.7,2000,306.5,2000,286.09,2000,345.68,2000,305.62,2000,341.11,2000,597.78,2000,518.13,2000,656.09,2000,589.93,2000,563.4,2000,564.95,2000,604.97,2000,533.77,2000,558.91,2000,599.4,2000,263.42,2000,322.98,2000,275.18,2000,271.84,2000,310.88,2000,543.93,2000,576.99,2000,524.04,2000,589.83,2000,525.2,2000,494.87,2000,652.56,2000,552.18,2000,628.07,2000,543.62,2000,133.72,2000,126.69,2000,111.61,2000,120.28,2000,128.67,2000,116.42,2000,126.63,2000,109.15,2000,120.78,2000,119.27,2000,97.9,2000,107.93,2000,123.69,2000,121.4,2000,118.9,2000,55.41,2000,65.14,2000,62.16,2000,56.01,2000,58.84,2000,97.5,2000,97.19,2000,104.27,2000,110.36,2000,98.77,2000,109.85,2000,113.58,2000,125.48,2000,103.12,2000,116.08,2000,118.62,2000,113.37,2000,106.76,2000,112.76,2000,111.38,2000,104.54,2000,109.69,2000,130.32,2000,126.24,2000,116.91,2000,117.89,2000,129.61,2000,116.6,2000,111.89,2000,122.84,2000,61.03,2000,63.06,2000,64.6,2000,66.47,2000,51.65,2000,106.63,2000,102.15,2000,100.44,2000,116.46,2000,100.43,2000,129.53,2000,121.98,2000,117.04,2000,117.29,2000,107.16
,3000,137.42,3000,130.83,3000,144.87,3000,149.71,3000,154.46,3000,418.43,3000,404.04,3000,466.17,3000,408.92,3000,504.74,3000,443.15,3000,492.25,3000,408.36,3000,491.68,3000,399.05,3000,65.94,3000,76.47,3000,93.43,3000,91.73,3000,72.23,3000,419.3,3000,529.49,3000,444.68,3000,519.06,3000,484.94,3000,491.68,3000,392.65,3000,425.81,3000,571.37,3000,419.75,3000,127.97,3000,151.16,3000,146.22,3000,154.56,3000,111.29,3000,315.05,3000,410.3,3000,322.62,3000,226.17,3000,349.09,3000,300.46,3000,337.39,3000,423.02,3000,444.06,3000,345.59,3000,120,3000,86.8,3000,97.47,3000,105.94,3000,85.32,3000,345.38,3000,295.1,3000,342.48,3000,310.23,3000,373.7,3000,344.15,3000,417.37,3000,294.71,3000,347.03,3000,306.97,3000,98.66,3000,87.03,3000,109.03,3000,92.26,3000,111.84,3000,107.05,3000,98.81,3000,112.23,3000,102.12,3000,86.44,3000,79.86,3000,94.68,3000,93.2,3000,116.72,3000,101.73,3000,54.74,3000,61.19,3000,56.54,3000,51.2,3000,57.36,3000,73.93,3000,73.15,3000,77.83,3000,65.07,3000,80.55,3000,100.5,3000,100.03,3000,96.65,3000,108.04,3000,93.58,3000,76.63,3000,94.15,3000,80.86,3000,78.54,3000,81.67,3000,82.22,3000,82.21,3000,74.37,3000,89.34,3000,95.05,3000,85.87,3000,82.26,3000,81.12,3000,66.12,3000,73.75,3000,49.69,3000,57.7,3000,54.4,3000,57.5,3000,57.88,3000,72.29,3000,72.2,3000,71.75,3000,68.34,3000,87.7,3000,77.54,3000,75.01,3000,82.9,3000,83.72,3000,77.91
,4000,79.46,4000,78.35,4000,77.82,4000,76.99,4000,89.7,4000,440.84,4000,298.02,4000,387.54,4000,340.49,4000,271.93,4000,270.57,4000,332.59,4000,307.52,4000,344.39,4000,276.14,4000,48.23,4000,54.51,4000,53.27,4000,46.59,4000,57.12,4000,268.63,4000,388.79,4000,386.52,4000,210.5,4000,385.03,4000,258.15,4000,261.67,4000,276.06,4000,327.96,4000,352.2,4000,68.23,4000,97.48,4000,86.89,4000,68.15,4000,74.72,4000,189.17,4000,226.26,4000,152.65,4000,240.06,4000,202.09,4000,206.47,4000,290.41,4000,147.79,4000,313.98,4000,259.1,4000,64.7,4000,60,4000,52.2,4000,53.33,4000,61.2,4000,218.15,4000,153.41,4000,192.67,4000,170.03,4000,262.77,4000,301.45,4000,282.91,4000,267.82,4000,230.85,4000,194.48,4000,74.74,4000,69.95,4000,98.79,4000,88.67,4000,84.69,4000,76.45,4000,81.62,4000,90.35,4000,87.6,4000,84.85,4000,77.5,4000,77.83,4000,82.22,4000,89.35,4000,88.69,4000,58.31,4000,58,4000,52.07,4000,53.29,4000,49.84,4000,62.34,4000,49.05,4000,48.36,4000,63.46,4000,55.23,4000,86.4,4000,79.98,4000,84.4,4000,76.33,4000,63.92,4000,72.79,4000,70.24,4000,71.65,4000,69.03,4000,66.68,4000,83.68,4000,68.9,4000,57.49,4000,63.12,4000,70.44,4000,61.7,4000,67,4000,57.17,4000,62.87,4000,60.67,4000,53.93,4000,53.51,4000,54.54,4000,55.86,4000,53.27,4000,58.19,4000,64.61,4000,64.68,4000,66.24,4000,56.21,4000,70.74,4000,69.76,4000,64.84,4000,59,4000,74.55
,5000,71.31,5000,64.24,5000,58.03,5000,76.49,5000,63.45,5000,327.11,5000,142.41,5000,273.58,5000,169.31,5000,96.72,5000,309.72,5000,303.63,5000,262.61,5000,262.68,5000,124.61,5000,58.63,5000,52.22,5000,47.78,5000,48.93,5000,49.11,5000,185.06,5000,186.51,5000,228.03,5000,185.86,5000,321.39,5000,143.18,5000,201.88,5000,246.64,5000,141.68,5000,286.84,5000,54.63,5000,56.29,5000,64.66,5000,57.26,5000,51.72,5000,155.15,5000,226.23,5000,134.81,5000,157.55,5000,93.92,5000,162.11,5000,104.4,5000,90.94,5000,204.05,5000,161.72,5000,54.3,5000,55.86,5000,48.16,5000,57.72,5000,51.62,5000,203.5,5000,147.72,5000,156.78,5000,151.91,5000,126.76,5000,355.39,5000,211.15,5000,243.48,5000,126.66,5000,114.38,5000,75.02,5000,54.35,5000,74.75,5000,67.43,5000,80.18,5000,59.2,5000,76.92,5000,67.85,5000,62.95,5000,90.72,5000,64.28,5000,73.74,5000,63.6,5000,83.64,5000,63.54,5000,52.58,5000,52.2,5000,54.39,5000,52.69,5000,51.81,5000,57.05,5000,52.87,5000,51.18,5000,51.12,5000,46.85,5000,79.22,5000,67.63,5000,75.59,5000,58.98,5000,58.13,5000,64.36,5000,55.41,5000,57.64,5000,47.63,5000,57.84,5000,56.81,5000,74.39,5000,50.33,5000,58.57,5000,55.54,5000,55.79,5000,53.87,5000,70.82,5000,60.29,5000,62.63,5000,54.23,5000,51.38,5000,52.97,5000,46.68,5000,54.63,5000,54.36,5000,51.92,5000,47.75,5000,45.22,5000,60.32,5000,56.02,5000,59.91,5000,53.55,5000,55.82,5000,73.72
,6000,61.7,6000,54.63,6000,49.45,6000,69.63,6000,65.99,6000,95.13,6000,88.71,6000,137.95,6000,128.52,6000,60.49,6000,243.16,6000,370.42,6000,149.95,6000,207.02,6000,86.39,6000,55.13,6000,48.61,6000,43.7,6000,49.08,6000,50.05,6000,67.15,6000,70.84,6000,126.63,6000,186.29,6000,181.82,6000,113.9,6000,157.12,6000,229.16,6000,109.93,6000,181.72,6000,50.68,6000,60.02,6000,56.87,6000,52.46,6000,55.35,6000,134.96,6000,205.08,6000,77.64,6000,113.49,6000,113.72,6000,98.98,6000,83.01,6000,80.06,6000,103.92,6000,124.9,6000,50.34,6000,51.87,6000,60.59,6000,48.24,6000,43.84,6000,157.11,6000,62.51,6000,73.38,6000,94.23,6000,97.7,6000,136.52,6000,97.07,6000,250.07,6000,70.03,6000,103.92,6000,54.71,6000,58.08,6000,62.6,6000,64.09,6000,66.02,6000,53.8,6000,67.11,6000,73.52,6000,52.33,6000,67.79,6000,54.43,6000,57.99,6000,61.76,6000,69.8,6000,55.92,6000,54.6,6000,49.51,6000,48.81,6000,55.49,6000,51.14,6000,57.15,6000,55.41,6000,56.74,6000,50.01,6000,46.96,6000,55.99,6000,53.94,6000,67.65,6000,58.77,6000,54.51,6000,46.53,6000,45.83,6000,51.69,6000,49.08,6000,55.2,6000,50.15,6000,59.3,6000,56.3,6000,59.39,6000,63.95,6000,54.63,6000,52.98,6000,57.46,6000,56.26,6000,51.45,6000,54.61,6000,57.31,6000,46.8,6000,48.81,6000,53.47,6000,51.98,6000,53.21,6000,54.47,6000,50.77,6000,48.07,6000,53.21,6000,47.53,6000,53.64,6000,54.26,6000,62.92
,7000,57.23,7000,57.89,7000,45.55,7000,59.02,7000,70.24,7000,65.84,7000,68.87,7000,75.48,7000,99.84,7000,62.97,7000,157.12,7000,337.39,7000,134.91,7000,143.84,7000,69.81,7000,48.3,7000,60.36,7000,56.42,7000,50.83,7000,55.14,7000,80.56,7000,58.92,7000,61.78,7000,65.99,7000,122.7,7000,62.84,7000,162.95,7000,172.87,7000,85.86,7000,165.08,7000,52.31,7000,56.69,7000,50.38,7000,54.89,7000,50.47,7000,129.1,7000,209.48,7000,60.72,7000,94.88,7000,61.96,7000,84.42,7000,88.54,7000,79.47,7000,116.33,7000,117.96,7000,53.15,7000,53.42,7000,53.13,7000,48.45,7000,50.25,7000,169.68,7000,52.43,7000,68.94,7000,50.56,7000,63.07,7000,175.05,7000,51.75,7000,176.5,7000,58.58,7000,103.02,7000,61.11,7000,61.37,7000,63.43,7000,58.72,7000,58.97,7000,50.01,7000,57.97,7000,55.2,7000,56.22,7000,56.9,7000,56.63,7000,47.91,7000,46.59,7000,59.85,7000,52.86,7000,57.87,7000,56.07,7000,48.82,7000,52.84,7000,60.35,7000,53.66,7000,48.52,7000,55.81,7000,50.5,7000,52.6,7000,54.35,7000,52.39,7000,49.33,7000,50.63,7000,56.02,7000,44.32,7000,53.72,7000,58.6,7000,49.6,7000,47.85,7000,56.76,7000,59.59,7000,56.46,7000,50.45,7000,54.18,7000,55.93,7000,49.67,7000,55.64,7000,51.15,7000,54.21,7000,51.44,7000,46.45,7000,49.09,7000,56.04,7000,50.34,7000,53.55,7000,52,7000,55.08,7000,51.78,7000,52.88,7000,53.86,7000,52.54,7000,57.99,7000,54.23,7000,62.35
,8000,49.29,8000,48.71,8000,51.92,8000,71.34,8000,56.41,8000,67.73,8000,62.96,8000,45.04,8000,74.58,8000,54.11,8000,64.21,8000,339.07,8000,64.73,8000,106.47,8000,62.02,8000,48.54,8000,54.57,8000,54.37,8000,47.47,8000,50.77,8000,54.28,8000,61.45,8000,56.32,8000,58.01,8000,115.65,8000,56.36,8000,161.48,8000,146.52,8000,67.37,8000,68.72,8000,50.59,8000,54.07,8000,55.16,8000,55.78,8000,41.75,8000,64.22,8000,125.28,8000,58.75,8000,78.6,8000,49.99,8000,72.54,8000,86.89,8000,83.32,8000,129.83,8000,104.74,8000,51.06,8000,47.99,8000,47.64,8000,49.32,8000,53.28,8000,145.18,8000,55.62,8000,58.12,8000,58.9,8000,60.32,8000,139.65,8000,53.28,8000,93.98,8000,65.67,8000,89.91,8000,53.88,8000,56.68,8000,51.68,8000,55.72,8000,48.02,8000,52.22,8000,61.92,8000,58.85,8000,52.11,8000,56.98,8000,57.83,8000,62.96,8000,51.32,8000,57.7,8000,50.94,8000,49.61,8000,48.68,8000,52.55,8000,46.38,8000,49.2,8000,56.01,8000,50.1,8000,50.99,8000,54.36,8000,52.53,8000,53.61,8000,58.99,8000,51.23,8000,46.73,8000,51.85,8000,56.46,8000,60.37,8000,53.77,8000,51.81,8000,57.64,8000,47.3,8000,46.61,8000,49.03,8000,58.83,8000,50.76,8000,55.69,8000,55.77,8000,54.15,8000,49.51,8000,53.42,8000,56.2,8000,50.29,8000,61.02,8000,48.22,8000,50.34,8000,50.26,8000,53.74,8000,50.84,8000,51.17,8000,43.7,8000,53.13,8000,49.08,8000,55.95,8000,53.21,8000,63.23
,9000,58.88,9000,49.15,9000,49.09,9000,58.85,9000,52.79,9000,51.89,9000,72.58,9000,53.18,9000,69.19,9000,52.99,9000,59.82,9000,301.45,9000,43.72,9000,82.24,9000,54.98,9000,53.3,9000,51.72,9000,45.31,9000,56.84,9000,47.24,9000,61.09,9000,59.62,9000,61.16,9000,50.1,9000,79.79,9000,54.43,9000,128.91,9000,139.33,9000,64.16,9000,54.81,9000,49.18,9000,54.7,9000,48.75,9000,51.32,9000,51.79,9000,62.93,9000,84.09,9000,46.82,9000,71.52,9000,51.76,9000,65.44,9000,69.45,9000,59.99,9000,112.78,9000,96.39,9000,51.75,9000,49.89,9000,45.71,9000,48.98,9000,50.05,9000,97.25,9000,53.95,9000,50.78,9000,47.64,9000,53.79,9000,153.28,9000,56.68,9000,79.52,9000,55.05,9000,77.68,9000,53.33,9000,55.08,9000,52.2,9000,51.61,9000,46.27,9000,47.25,9000,52.14,9000,59.5,9000,43.94,9000,54.99,9000,52.93,9000,58.04,9000,44.24,9000,55.99,9000,56.53,9000,48.46,9000,46.16,9000,49.06,9000,51.87,9000,49.18,9000,52.46,9000,49.03,9000,52.83,9000,51.45,9000,50.03,9000,49.64,9000,44.95,9000,55.59,9000,52.89,9000,51.36,9000,53.69,9000,53.28,9000,57.23,9000,48,9000,48.52,9000,49.4,9000,43.48,9000,48.28,9000,55.18,9000,49.84,9000,52.22,9000,48.97,9000,53.59,9000,48.46,9000,51.82,9000,49.52,9000,46.22,9000,49.09,9000,50.78,9000,47.25,9000,53.6,9000,51.91,9000,53.78,9000,54.36,9000,49.21,9000,51.55,9000,48.69,9000,58.57,9000,49.7,9000,66.05
,10000,53.59,10000,50.04,10000,45.27,10000,55.68,10000,51.89,10000,53.63,10000,64.88,10000,51.73,10000,74.13,10000,53.68,10000,58.61,10000,253.24,10000,49.87,10000,57.92,10000,58.04,10000,47.47,10000,51.72,10000,44.95,10000,60.87,10000,51.68,10000,47.71,10000,57.29,10000,51.55,10000,51.68,10000,64.31,10000,53.06,10000,152.38,10000,89.63,10000,47.8,10000,60.02,10000,49.14,10000,48.21,10000,44.89,10000,53.48,10000,48.97,10000,51.49,10000,125.22,10000,53.4,10000,74.98,10000,48.92,10000,60.16,10000,73.89,10000,63.32,10000,122.99,10000,51.8,10000,52.67,10000,52.27,10000,47.89,10000,54.96,10000,45.05,10000,96.3,10000,50.59,10000,51.56,10000,47.2,10000,53.07,10000,161.35,10000,50.14,10000,108.44,10000,50.93,10000,81.48,10000,53.24,10000,55.28,10000,56.45,10000,53.67,10000,49.71,10000,58.87,10000,54.82,10000,59.16,10000,49.98,10000,46.3,10000,51.79,10000,54.49,10000,49.82,10000,55.76,10000,55.73,10000,45.9,10000,56.42,10000,48.62,10000,49.47,10000,55.27,10000,50.67,10000,53.1,10000,45.8,10000,48.97,10000,48.11,10000,50.58,10000,52.59,10000,59.64,10000,50.37,10000,53.17,10000,57.05,10000,58.27,10000,51.43,10000,49.15,10000,50.86,10000,49.07,10000,45.78,10000,51.98,10000,55.93,10000,53.23,10000,45.67,10000,52.17,10000,51.65,10000,41.24,10000,53.89,10000,48.43,10000,51.01,10000,48.73,10000,52.06,10000,53.56,10000,51.98,10000,50.05,10000,57.63,10000,47.45,10000,50.07,10000,44.72,10000,52.18,10000,46.28,10000,51.5,10000,52.99
